Country,ninetythree,ninetyfour,ninetyfive,ninetysix,ninetyseven,ninetyeight,ninetynine,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9953,27728
Hong Kong,0,0,0,0,0,39,274,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,520,918,120,0
Hungary,0,0,10,9,1,7,11,12,8,5,5,6,4,129,11,22,14,6,7,6,17,4,10,3,2,19,0,3,0
India,0,0,702,1592,1704,0,196,2352,5052,7496,7138,4291,10332,4402,10449,2040,5182,18396,17859,14668,29196,33235,31241,32756,29960,27113,37643,28967,36331
Idnonesia,29729,40559,32098,21670,21281,24153,29733,17604,18763,19320,13609,16475,8664,9967,9943,8068,7524,13660,7527,2650,8648,9007,14866,15964,14429,15526,1900,2419,1371
Ireland,0,0,146,0,342,71,556,1628,1012,968,306,902,1659,0,854,1186,561,1410,854,0,552,3084,2874,1111,2728,1419,472,109,70
Israel,0,0,0,169,248,0,250,1199,241,1942,233,795,1956,1812,944,2313,1418,2007,231,668,124,100,1,404,0,3,345,130,524
Italy,11429,8194,1864,2977,2695,4473,3580,11083,14462,12287,12324,15579,15702,21350,19968,19447,10679,13530,13379,9796,4924,5665,4925,6509,6110,8762,10030,10549,17568
Ivory Coast (Cote d'Ivore),0,0,367,1593,619,55,656,1761,2295,2325,1514,2356,8734,2073,531,3298,1259,3560,1450,1634,87,443,3,212,2894,3858,1668,0,0
Jamaica,0,0,0,0,0,0,0,0,0,146,0,723,810,1898,1771,2389,2164,399,577,1068,444,0,0,0,0,0,119,0,187
Japan,101,96,120,150,436,2754,4903,5532,4160,2402,2757,3873,3981,9748,12927,3372,3943,4822,3444,3263,6182,5270,6508,7943,9523,7536,13583,8084,7318
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,497,0
Kazakhstan,0,0,0,0,0,0,0,29,251,0,0,4492,7583,4141,6881,4466,10696,12698,5088,5072,7092,6234,5416,5278,3853,12961,15762,9095,11937
Korea,12000,12475,8398,3708,1499,11474,10903,18500,19036,16525,11226,14794,23001,34330,44889,18553,18173,25026,19185,21479,24504,21845,37258,39306,38468,34264,48663,44572,48886
Kyrgyzstan,0,0,0,3343,2565,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,735,2631,1918,2505,10443,11445,8835,7860,3851,2347,5174,1906,3270,2832,1948,287,92,417,0,0,69,169,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,20,0,1,2,18,0,241,0,0,1677,619,294
